model	checkpoint	correct_rank	correct_logit	correct_prob	competing_rank	competing_logit	competing_prob
a	50000	0	18.29	73.43	1	15.82	6.22
a	60000	0	19.13	80.09	1	17.04	9.97
a	70000	0	19.1	87.37	1	15.44	2.25
a	80000	0	18.09	74.22	1	15.68	6.61
a	90000	0	19.76	88.21	1	17.14	6.43
a	100000	0	18.22	66.77	1	16.74	15.17
a	110000	0	18.3	71.46	1	16.58	12.84
a	120000	0	18.56	64.73	1	17.26	17.63
a	130000	0	19.01	71.02	1	17.52	16.07
a	140000	0	19.67	83.48	1	17.48	9.32
a	150000	0	18.98	80.49	1	16.54	7
a	160000	0	18.6	66.22	1	17.23	16.89
a	170000	0	18.78	78.01	1	16.55	8.45
a	180000	0	19.07	78.7	1	17.15	11.59
a	190000	0	18.67	57.55	1	18.13	33.49
a	200000	0	18.92	79.08	1	16.93	10.77
a	210000	0	18.77	78.87	1	16.45	7.7
a	220000	1	17.3	19.69	0	18.52	67.33
a	230000	0	18.12	61.88	1	16.89	18.09
a	240000	1	17.31	37.28	0	17.42	41.66
a	250000	0	19.19	69.18	1	18.04	21.97
a	260000	1	15.96	14.09	0	17.47	63.72
a	270000	0	17.37	42.83	1	17.11	33.07
a	280000	1	16.96	23.27	0	17.84	56.19
a	290000	1	16.16	18.99	0	17.25	56.08
a	300000	1	17.25	35.07	0	17.35	38.79
a	310000	1	16.56	15.26	0	18.02	66.03
a	320000	1	17.48	34.12	0	17.86	49.88
a	330000	0	18.24	50.91	1	17.91	36.71
a	340000	1	17.54	29.02	0	18.17	54.46
a	350000	1	16.62	18.06	0	17.86	62.05
a	360000	1	16.89	22.85	0	17.77	54.87
a	370000	1	16.94	17.96	0	18.22	64.71
a	380000	1	16.7	14.3	0	18.3	71.19
a	390000	1	16.07	8.71	0	18.22	74.67
a	400000	1	16.39	9.99	0	18.4	74.84
b	50000	0	18.82	71.88	1	17.31	15.9
b	60000	0	18.12	67.42	1	16.46	12.87
b	70000	0	17.8	67.18	2	15.27	5.34
b	80000	0	17.28	51.54	1	15.89	12.85
b	90000	0	19.17	76.81	1	17.04	9.14
b	100000	0	19.45	82.64	1	16.7	5.32
b	110000	0	17.98	66.12	3	15.4	5.02
b	120000	0	18.28	73.77	2	15.55	4.81
b	130000	0	18.68	76.57	1	15398	5.17
b	140000	0	18.04	69.76	2	15.57	5.86
b	150000	0	19	84.89	1	15.78	3.38
b	160000	0	19.09	89.47	2	14.68	1.09
b	170000	0	19.53	89.99	3	15.21	1.19
b	180000	0	19.09	84.13	1	16.29	5.16
b	190000	0	18.24	73.11	2	15.75	6.04
b	200000	0	19.14	87.42	2	15.54	2.38
b	210000	0	18.37	66.29	1	16.37	8.97
b	220000	0	18.88	83.6	1	15.75	3.66
b	230000	0	17.71	64.24	3	15.21	5.28
b	240000	0	18.43	73.96	1	16.07	6.99
b	250000	0	18.99	76.68	1	16.69	7.7
b	260000	0	18.29	73.88	1	15.86	6.51
b	270000	0	18.31	68.9	1	16.18	8.18
b	280000	0	18.97	78	1	16.58	7.19
b	290000	0	19.18	77.71	1	17.21	10.84
b	300000	0	19.3	81.16	1	16.83	6.82
b	310000	0	18.28	63.37	1	17.03	18.16
b	320000	0	18.61	68.24	1	16.95	13.05
b	330000	0	19.24	71.07	1	17.44	11.75
b	340000	0	19.09	70.91	1	17.52	14.72
b	350000	0	18.67	62.09	1	17.57	20.61
b	360000	0	19.58	77.46	1	17.46	9.31
b	370000	0	19.02	70.68	1	17.03	9.67
b	380000	0	19.45	73.1	1	17.66	12.16
b	390000	0	19.19	70.34	1	17.5	12.99
b	400000	0	19.46	72.88	1	17.73	12.99
c	50000	0	18.9	88.99	2	15.14	2.08
c	60000	0	18.09	70.04	1	16.1	9.56
c	70000	0	19.48	90.13	1	15.81	2.3
c	80000	0	17.57	62.99	1	15.82	10.85
c	90000	0	19.51	85.2	1	16.92	6.38
c	100000	0	17.22	52.3	1	16.09	16.79
c	110000	0	16.81	46.08	1	15.71	15.47
c	120000	0	18.3	69.76	1	16.3	9.52
c	130000	0	17.53	58.04	1	16.29	16.67
c	140000	0	18.26	65.44	1	16.85	15.96
c	150000	0	16.85	48.11	1	15.55	13.1
c	160000	0	18.06	63.37	1	16.63	15.22
c	170000	0	17.7	60.41	1	16.21	13.69
c	180000	0	16.92	45.09	1	16.23	22.59
c	190000	1	16.48	24.66	0	17.17	48.88
c	200000	1	17.64	40.16	0	17.64	40.22
c	210000	1	17.27	32.38	0	17.76	52.58
c	220000	0	16.28	31.83	1	16.21	29.67
c	230000	1	16.99	36	0	17.15	42.4
c	240000	0	16.97	42.64	1	16.34	22.56
c	250000	1	16.06	23.19	0	16.74	45.62
c	260000	0	17.57	49.62	1	16.77	22.24
c	270000	1	16.59	33.09	0	16.76	39.25
c	280000	1	15.96	18.02	0	17	50.73
c	290000	0	16.4	33.76	1	16.22	28.11
c	300000	1	16.53	18.96	0	17.76	64.84
c	310000	1	16.82	26.01	0	17.49	50.68
c	320000	0	17.09	41.45	1	16.76	29.8
c	330000	1	17.06	31.61	0	17.47	47.53
c	340000	1	16.99	34.17	0	17.14	39.66
c	350000	1	16.99	34.17	0	17.41	44.28
c	360000	1	16.51	23.18	0	17.13	42.92
c	370000	1	16.55	20.08	0	17.56	54.9
c	380000	1	16.29	18.35	0	17.32	51.36
c	390000	1	16.59	23.87	0	17.28	47.2
c	400000	1	16.7	24.37	0	17.37	47.69
