model	checkpoint	correct_rank	competing_rank
a	0	35201	19208
a	50	976	5606
a	100	1141	4184
a	250	311	1206
a	500	397	132
a	1000	40	18
a	2500	5	3
a	5000	3	0
a	10000	0	1
a	25000	0	1
a	50000	0	1
a	75000	1	0
a	100000	0	1
a	150000	0	1
a	200000	1	0
a	250000	1	0
a	300000	1	0
a	350000	1	0
a	400000	1	0
b	0	1721	29330
b	50	1851	3179
b	100	1247	5531
b	250	1091	2880
b	500	736	305
b	1000	31	36
b	2500	5	2
b	5000	1	0
b	10000	1	0
b	25000	0	1
b	50000	0	1
b	75000	0	1
b	100000	0	1
b	150000	0	1
b	200000	0	1
b	250000	1	0
b	300000	1	0
b	350000	0	1
b	400000	0	1
c	0	46922	10051
c	50	749	7016
c	100	1180	6166
c	250	990	2432
c	500	787	376
c	1000	29	24
c	2500	4	2
c	5000	1	0
c	10000	0	1
c	25000	0	1
c	50000	1	0
c	75000	0	1
c	100000	1	0
c	150000	0	1
c	200000	0	1
c	250000	1	0
c	300000	1	0
c	350000	1	0
c	400000	1	0
d	0	18660	44475
d	50	638	3127
d	100	1082	2858
d	250	526	1194
d	500	123	37
d	1000	21	10
d	2500	5	2
d	5000	1	3
d	10000	8	4
d	25000	1	0
d	50000	1	0
d	75000	0	1
d	100000	0	1
d	150000	1	0
d	200000	0	1
d	250000	0	1
d	300000	0	1
d	350000	0	1
d	400000	1	0
e	0	38007	13374
e	50	1884	7577
e	100	1029	5784
e	250	308	983
e	500	639	951
e	1000	16	13
e	2500	4	3
e	5000	0	3
e	10000	0	3
e	25000	1	0
e	50000	0	1
e	75000	0	1
e	100000	0	1
e	150000	0	1
e	200000	0	1
e	250000	1	0
e	300000	0	1
e	350000	0	1
e	400000	0	1
